ID,csp_change,luc_rank
1,0.0,3.0
5,0.0,3.0
9,1.0,4.0
13,-1.0,2.0
26,-1.0,2.0
61,1.0,4.0
62,1.0,4.0
63,2.0,5.0
76,1.0,4.0
77,1.0,4.0
78,2.0,5.0
91,1.0,4.0
92,1.0,4.0
93,2.0,5.0
106,-2.0,1.0
170,1.0,4.0
171,-2.0,1.0
172,-2.0,1.0
174,-2.0,1.0
228,-3.0,1.0
282,1.0,4.0
283,1.0,4.0
284,1.0,4.0
285,1.0,4.0
286,1.0,4.0
287,1.0,4.0
288,1.0,4.0
289,1.0,4.0
290,-1.0,2.0
291,-1.0,2.0
292,-1.0,2.0
293,-1.0,2.0
294,-1.0,2.0
295,-1.0,2.0
296,-1.0,2.0
297,-1.0,2.0
312,1.0,4.0
327,-1.0,2.0
329,1.0,4.0
331,-1.0,2.0
333,1.0,4.0
350,2.0,5.0
352,2.0,5.0
354,2.0,5.0
356,2.0,5.0
360,2.0,5.0
362,0.0,3.0
364,2.0,5.0
368,2.0,5.0
372,2.0,5.0
376,2.0,5.0
380,2.0,5.0
384,2.0,5.0
410,0.0,3.0
441,1.0,4.0
442,1.0,4.0
446,-3.0,1.0
449,-1.0,2.0
470,-3.0,1.0
471,-3.0,1.0
472,-3.0,1.0
477,-3.0,1.0
478,-3.0,1.0
528,-3.0,1.0
532,-3.0,1.0
542,-3.0,1.0
543,-3.0,1.0
550,1.0,4.0
551,1.0,4.0
552,1.0,4.0
553,1.0,4.0
554,1.0,4.0
555,1.0,4.0
653,1.0,4.0
654,1.0,4.0
678,-1.0,2.0
681,-1.0,2.0
684,-1.0,2.0
687,-1.0,2.0
690,-1.0,2.0
693,-1.0,2.0
696,-1.0,2.0
699,-1.0,2.0
702,-1.0,2.0
705,-1.0,2.0
708,-1.0,2.0
711,-1.0,2.0
714,-1.0,2.0
717,-1.0,2.0
720,-1.0,2.0
723,-1.0,2.0
726,-1.0,2.0
729,-1.0,2.0
732,-1.0,2.0
735,-1.0,2.0
738,-1.0,2.0
741,-1.0,2.0
744,-1.0,2.0
747,-1.0,2.0
750,-1.0,2.0
753,-1.0,2.0
756,-1.0,2.0
759,-1.0,2.0
762,-1.0,2.0
765,1.0,4.0
768,1.0,4.0
771,-1.0,2.0
774,-1.0,2.0
777,-1.0,2.0
780,-1.0,2.0
783,-1.0,2.0
786,-3.0,1.0
789,1.0,4.0
792,-1.0,2.0
795,-1.0,2.0
798,-3.0,1.0
801,-1.0,2.0
804,-1.0,2.0
807,-1.0,2.0
810,-1.0,2.0
813,-1.0,2.0
816,-1.0,2.0
819,-1.0,2.0
822,-3.0,1.0
825,-1.0,2.0
828,-1.0,2.0
831,-1.0,2.0
834,-3.0,1.0
837,1.0,4.0
840,-1.0,2.0
843,-1.0,2.0
846,1.0,4.0
849,-1.0,2.0
852,-3.0,1.0
855,-1.0,2.0
934,-2.0,1.0
935,-3.0,1.0
936,-2.0,1.0
937,-3.0,1.0
957,-3.0,1.0
958,-2.0,1.0
962,2.0,5.0
965,2.0,5.0
968,2.0,5.0
971,2.0,5.0
974,0.0,3.0
977,2.0,5.0
979,1.0,4.0
982,-1.0,2.0
985,1.0,4.0
988,-1.0,2.0
991,1.0,4.0
994,0.0,3.0
997,2.0,5.0
1000,1.0,4.0
1006,0.0,3.0
1009,0.0,3.0
1012,0.0,3.0
1015,-1.0,2.0
1018,-1.0,2.0
1020,-1.0,2.0
1023,2.0,5.0
1026,1.0,4.0
1029,1.0,4.0
1032,-1.0,2.0
1035,1.0,4.0
1038,1.0,4.0
1041,1.0,4.0
1044,2.0,5.0
1047,2.0,5.0
1050,0.0,3.0
1053,0.0,3.0
1056,0.0,3.0
1059,0.0,3.0
1062,0.0,3.0
1065,2.0,5.0
1068,1.0,4.0
1070,2.0,5.0
1072,2.0,5.0
1074,0.0,3.0
1076,2.0,5.0
1078,2.0,5.0
1080,2.0,5.0
1082,0.0,3.0
1084,2.0,5.0
1086,2.0,5.0
1087,2.0,5.0
1089,2.0,5.0
1091,0.0,3.0
1093,2.0,5.0
1095,2.0,5.0
1097,2.0,5.0
1099,2.0,5.0
1101,2.0,5.0
1103,2.0,5.0
1105,0.0,3.0
1107,2.0,5.0
1109,2.0,5.0
1113,1.0,4.0
1114,1.0,4.0
1117,1.0,4.0
1118,-1.0,2.0
1119,1.0,4.0
1120,-1.0,2.0
1125,-1.0,2.0
1126,1.0,4.0
1127,-1.0,2.0
1131,-1.0,2.0
1132,-1.0,2.0
1133,-1.0,2.0
1134,-1.0,2.0
1135,1.0,4.0
1136,1.0,4.0
1137,1.0,4.0
1138,1.0,4.0
1139,-1.0,2.0
1140,-1.0,2.0
1141,-1.0,2.0
1142,-1.0,2.0
1143,1.0,4.0
1144,1.0,4.0
1147,1.0,4.0
1148,1.0,4.0
1149,1.0,4.0
1150,1.0,4.0
1151,1.0,4.0
1152,1.0,4.0
1153,1.0,4.0
1161,1.0,4.0
1162,1.0,4.0
1163,1.0,4.0
1164,1.0,4.0
1165,1.0,4.0
1166,-1.0,2.0
1167,1.0,4.0
1168,1.0,4.0
1174,1.0,4.0
1175,1.0,4.0
1176,1.0,4.0
1177,1.0,4.0
1178,1.0,4.0
1179,1.0,4.0
1182,1.0,4.0
1183,1.0,4.0
1184,1.0,4.0
1188,1.0,4.0
1189,-1.0,2.0
1190,-1.0,2.0
1191,-1.0,2.0
1192,-1.0,2.0
1193,-1.0,2.0
1194,-1.0,2.0
1195,-1.0,2.0
1196,-1.0,2.0
1322,2.0,5.0
1323,2.0,5.0
1324,-3.0,1.0
1325,-3.0,1.0
1326,-3.0,1.0
1327,-3.0,1.0
1328,-3.0,1.0
1329,-3.0,1.0
1336,-2.0,1.0
1338,-2.0,1.0
1339,-2.0,1.0
1342,-3.0,1.0
1343,-3.0,1.0
1344,-3.0,1.0
1345,-3.0,1.0
1346,-3.0,1.0
1349,-3.0,1.0
1350,-3.0,1.0
1351,-3.0,1.0
1352,-2.0,1.0
1357,-2.0,1.0
1358,-2.0,1.0
1359,-1.0,2.0
1363,-1.0,2.0
1366,-1.0,2.0
1369,-1.0,2.0
1372,-1.0,2.0
1378,-1.0,2.0
1381,-1.0,2.0
1384,-1.0,2.0
1387,-1.0,2.0
1393,-1.0,2.0
1396,-1.0,2.0
1399,-1.0,2.0
1402,-1.0,2.0
1516,0.0,3.0
1517,2.0,5.0
1518,2.0,5.0
1519,2.0,5.0
1520,2.0,5.0
1521,2.0,5.0
1522,2.0,5.0
1523,2.0,5.0
1524,2.0,5.0
1525,2.0,5.0
1526,2.0,5.0
1527,2.0,5.0
1528,2.0,5.0
1529,2.0,5.0
1530,2.0,5.0
1531,2.0,5.0
1532,-1.0,2.0
1533,-1.0,2.0
1534,-1.0,2.0
1535,2.0,5.0
1541,2.0,5.0
1542,2.0,5.0
1543,2.0,5.0
1544,2.0,5.0
1545,2.0,5.0
1546,2.0,5.0
1547,2.0,5.0
1548,2.0,5.0
1550,-1.0,2.0
1552,-1.0,2.0
1554,-1.0,2.0
1556,1.0,4.0
1563,1.0,4.0
1570,1.0,4.0
1577,1.0,4.0
1584,2.0,5.0
1591,2.0,5.0
